job_role,experience_years,ai_tool_usage_hours_per_week,tasks_automated_percent,manual_work_hours_per_week,learning_time_hours_per_week,deadline_pressure_level,meeting_hours_per_week,collaboration_hours_per_week,error_rate_percent,task_complexity_score,focus_hours_per_day,work_life_balance_score,burnout_risk_score,productivity_score
Developer,11,8,20,20.1,5.3,High,3.4,7.9,2.11,5,4.9,5.1,10,58.2
Designer,1,8.5,15.9,25.8,1.4,High,5.1,8.6,4.66,3,4.8,3.2,10,28.6
Writer,7,0,3.2,36.7,1.2,High,6.7,8,1.74,9,5,2.1,10,56
Marketer,4,10.9,34.1,24.5,0.9,High,2,4.9,2.15,8,6.6,3.6,10,61.6
Developer,19,16.9,55.2,10.6,0.9,Low,10,6.1,3.66,6,4.4,6.6,5.95,99.5
Designer,18,3.9,7,22,0.5,High,7.6,7.9,3.74,8,5.3,4.6,10,50.1
Marketer,9,10.3,25.2,15.6,1.2,Medium,1,6.6,2.7,5,5.7,7.8,6.71,68.1
Designer,14,7.7,21.8,23,2.6,Low,5.5,7,3.58,1,3.1,7,5.67,59.2
Analyst,11,17.4,43.3,16.9,4,Low,8.3,10,3.21,8,3.7,5.4,6.86,72.8
Designer,4,6.7,16,18.6,0.7,Medium,3.9,3.9,0.52,8,3.3,7.2,7.15,54.9
Analyst,2,5.8,11.1,27.9,3.4,Low,4,7.2,0.88,3,4.7,6.6,5.96,66.4
Marketer,7,11.1,25.8,20.9,1.2,High,7.6,7.7,0.4,5,3.1,3.1,10,56.6
Developer,3,14.7,33.8,26.6,0.9,Medium,1.5,3.9,3.64,10,5.4,3.8,9.67,62.8
Designer,7,1.3,10.8,25.9,1.8,High,6,5.9,1.44,8,5.1,4.7,10,59.9
Analyst,7,7.8,10.5,29.3,5.8,High,1,5.1,0.1,3,4.8,3.5,10,55.7
Writer,2,14.8,38,26.3,1.2,Low,4.5,2.5,1.86,6,6.3,4.6,7.44,74
Writer,5,14.5,32.7,18.4,0.2,Low,1.6,4.2,1.69,5,7.3,7.4,5.37,88.8
Designer,8,7,6.9,39.8,1.4,Low,8.3,11.1,3.65,8,3.2,2.2,9.21,41.6
Manager,16,7,15.8,20.8,1,Medium,22.9,18.6,2.15,6,1.2,1.8,10,48.3
Writer,7,14.3,39.2,15.7,0.6,High,6.7,4.4,4.31,9,4,3.8,10,56.7
Manager,20,9.1,30.6,19.7,0.3,Low,14.5,12.2,0.65,9,2.4,5.2,7,73.9
Designer,16,6,8.1,35.4,3.2,Medium,6.8,11.7,0.1,7,5.2,2.5,10,64.2
Developer,2,23.1,55,10.2,1.9,Medium,6.5,10.5,3.85,8,6.2,4.6,9.09,66
Developer,16,16.4,33.2,22.2,1.4,Low,5.4,6.3,0.1,5,6.2,5,7.14,91.5
Developer,7,13.7,34.7,18,0.8,Low,1,7.2,1.6,4,6.5,7.8,5.06,88.4
Analyst,13,7.4,12.6,23.8,0.4,High,7.5,4.1,2.26,2,5.7,3.3,10,67
Writer,2,18.9,44.1,17.6,0.9,High,3.5,5.1,3.36,2,4.3,3,10,56.6
Analyst,10,7.7,23.8,23.7,1.4,High,4.9,9.4,2.08,9,7.2,3.9,10,67.6
Writer,16,17.5,49.8,22.3,1.4,Low,6.1,7.7,3.66,9,4.9,4.5,7.5,79.5
Manager,16,6.6,20.3,21.6,2.3,Low,16.9,12.1,3.63,3,3.4,4.7,7.36,65.2
Developer,19,24.3,58.3,14.1,3.3,High,2.5,5.1,2.5,8,4.3,2.8,10,76.8
Manager,20,0,0,38.7,0.1,High,18.3,15.7,3.32,10,1.3,1,10,37.9
Developer,14,25.3,63.6,15,1.1,Medium,1,2.8,2.88,2,5.9,4.2,9.38,86.7
Developer,20,16.8,48.4,18.6,3.4,High,6.8,8.8,0.1,8,6.1,2.4,10,93.4
Designer,1,3.3,5.8,28.2,5.9,High,7.4,13,0.1,4,3.8,3.3,10,43.1
Manager,20,1.6,15.1,29.1,2.2,High,14.3,11.5,2.21,10,3.1,1.8,10,63.5
Marketer,7,8.8,22.3,24.7,1,Medium,3.7,8.1,3.52,3,6,5.2,8.63,67.6
Developer,9,19.9,56.7,10,1.4,Medium,8.2,9.4,3.3,7,4.2,5,8.79,69.2
Developer,8,17.1,30.5,17.5,0.7,Medium,2.6,8.6,2.77,2,5.9,5.2,8.63,69.1
Developer,16,10,25.3,10.8,2,Medium,8.4,6.6,0.15,5,2.9,7.2,7.15,72.8
Designer,18,6.6,12.1,19.5,2.3,Low,6.1,2,3.29,2,5.7,8,4.93,67.9
Developer,4,20,48.1,14.4,1.3,High,4.1,8.2,5.18,5,5.8,3.4,10,60
Analyst,1,11.1,31.9,19.7,3.5,Medium,5.2,6.1,2.53,10,4.7,5.5,8.41,55.6
Designer,15,4,11.9,31.4,2.6,Low,5.8,9.9,2.89,3,5.2,5.7,6.62,64.9
Designer,17,9.5,19.4,20.3,4.4,Low,5.5,6.5,1.04,5,4.2,7.2,5.52,80.7
Designer,12,2.6,3.7,24.7,1.3,Low,6,6,3.48,4,6.1,7.7,5.15,59.6
Analyst,12,14.5,39.6,19.3,4.5,Medium,6.2,6.6,1.29,6,5.8,4.5,9.15,76.8
Manager,11,5.2,10.2,30.9,2.4,Medium,7.7,12,1.36,5,3.2,3.5,9.88,50
Developer,15,8.8,24.6,21.1,1.5,High,6.8,6.5,1.61,9,5.3,3.8,10,71.7
Developer,18,18.4,33,27.5,2.7,Low,1,6.6,2.14,9,5.9,4.3,7.66,80.6
Manager,11,3.5,8.7,30.6,4.9,Low,11.1,10.4,1.77,5,3.1,4.7,7.36,46.7
Designer,7,1.8,0,26.6,4.7,Low,2.1,5.4,0.39,8,4.4,8.4,4.63,61.3
Manager,13,5.1,12.8,29.7,2.3,Low,19.2,15.1,2.91,2,1.9,2.5,8.99,41.5
Developer,3,5.2,12.8,19,1.3,Low,1.4,5.2,0.23,2,5.4,9.6,3.74,65.5
Writer,5,7.6,12.1,28.2,6.9,High,5.3,9.7,0.1,1,6.3,2.7,10,54.7
Analyst,16,6.8,10.5,30.8,3.1,High,5.9,10.4,0.69,7,4.9,2.1,10,59.3
Analyst,1,15.7,35.9,26.6,6.8,High,5.9,7.6,0.1,1,5,1,10,59.9
Marketer,15,13.1,28.1,11.1,1.3,High,5.5,10.7,0.61,1,4.6,5.6,9.98,69.8
Developer,14,9.1,20.6,31.2,0.4,Medium,6,8.7,2.74,10,4.7,2.9,10,55.8
Developer,9,14.6,45.5,21.7,1.1,Low,1,5.2,3.53,6,5.9,6.7,5.89,82
Marketer,2,6.7,24.1,33.1,2.4,Medium,3.8,8.7,2.69,5,5,3.6,9.82,48.3
Developer,6,25,58.2,14.2,1.8,High,5.6,2.6,2.73,7,7.4,1.8,10,74.4
Marketer,11,7.8,18.9,27.2,0.9,Medium,6.9,8.4,1.17,1,4.8,4,9.51,61.2
Manager,9,7.9,15.1,33.5,3.4,High,9.7,11.2,0.1,9,4.9,1,10,55.1
Developer,16,20.5,43,27,1.8,Low,2.2,7.7,0.68,9,6.4,3.6,8.18,86.7
Analyst,7,9.3,19.6,18.2,1.6,High,7.3,7.3,1.93,2,4.7,4.3,10,63.3
Designer,5,0.5,4.5,21.6,0.9,Medium,9.1,11.5,1.79,3,4.5,6.7,7.52,45.8
Marketer,17,13.8,34.7,24.1,0.1,High,1.4,4.9,2.67,10,5.9,3.2,10,78.1
Manager,3,1.4,2.6,34,4.3,Low,13.9,16.2,0.68,1,4.7,3.7,8.11,48.7
Developer,1,12.9,39.5,15.1,4.7,Low,1,7.2,2.63,2,6.3,8.8,4.34,67.1
Manager,18,6.3,20.4,25,2.1,High,18.5,12.8,3.6,8,2.8,1,10,58.7
Developer,17,18.1,46.3,20.7,1.1,Low,6.3,9.5,4.63,9,4.7,4.7,7.36,71.3
Designer,17,8.3,25.7,25.9,1.9,High,3.7,11.1,0.6,2,5.7,3.5,10,84
Analyst,5,3.3,0,28.8,2.7,Low,13.8,12.4,1.21,6,3.4,4.5,7.5,41.8
Marketer,6,8.5,26.1,34,3,Low,3.6,6.2,4.08,4,5.8,4.5,7.52,58.6
Writer,7,13.7,38.4,10,0.2,Medium,7.7,8.4,4.64,6,4.9,6.6,7.58,62
Developer,1,27.1,79.3,10,1.1,Medium,1,3.2,3.14,6,6.7,5,8.79,92.3
Designer,12,4,17.5,20,1.9,Medium,3.7,8.8,0.49,6,6.3,7.6,6.86,71.9
Designer,9,7,11,30.9,0.5,Medium,3.8,6.2,0.46,3,4.4,4.1,9.45,58.4
Analyst,6,9.5,31.8,20,2.2,High,3.8,5,1.07,7,5.8,4.7,10,58.9
Developer,10,19.8,48.5,10,0.3,High,10.1,9,2.05,4,4.3,3,10,69.1
Writer,8,20.9,51.7,14.3,2.8,Low,6.7,12.2,3.75,1,3.5,5.5,6.76,64.8
Developer,19,20.7,51.8,13.4,0.2,High,8.4,8.5,1.35,3,1.6,2.4,10,73.5
Analyst,20,7.3,16.2,27,2.9,Medium,4.1,6.1,0.1,10,5.7,4.9,8.85,79.1
Analyst,9,16,40.3,10,0.9,Medium,5,5.1,2.78,1,5.5,6.8,7.46,76.6
Developer,8,17.3,40.5,14.6,0.2,Medium,2.8,8.3,5.7,2,5.9,5.8,8.18,59.3
Writer,15,12.2,27.7,22.4,1.4,Medium,6.2,10.1,0.74,9,5.7,4.3,9.3,80.3
Manager,12,8.5,13.7,25.1,4.6,Medium,12.6,12.3,0.1,3,4.8,2.9,10,54.8
Analyst,8,13.4,30.2,31.1,2.8,Low,5,9.2,0.1,8,6.2,3.6,8.17,76.5
Developer,4,12.2,35,19.1,3.3,High,4,4.4,0.31,3,4.7,4.2,10,63.5
Analyst,16,11.8,36.5,19.2,0.6,High,1,6.9,1.99,7,6.2,5,10,87.4
Designer,6,9,20.3,20.4,0.4,Low,5.2,7.9,0.46,2,6.3,7.4,5.38,80
Developer,8,13.8,36.2,18.3,1.6,Medium,3.6,5,1.5,2,4.6,5.6,8.34,73.8
Developer,14,16.8,39.9,23.2,1.9,Low,9.3,12.2,1.72,2,3.3,3.7,8.11,69.6
Manager,18,3.8,10.6,18.6,1.2,Medium,10.3,7.1,3.19,4,5,6.3,7.81,71.2
Developer,13,18.4,52,13.7,1.7,Low,4.3,5.2,4.43,5,4.6,6.9,5.73,82.9
Marketer,8,2,4.2,24.2,3,High,3.4,6.4,3.26,2,7,5.6,9.98,63
Manager,12,11.8,33.2,16.1,3.6,Medium,21.7,16.4,0.17,8,1,2.1,10,57.8
Developer,20,9.4,18.9,31.7,1,Medium,6.2,7.7,0.55,10,5.6,2.7,10,67.9
Analyst,14,10.1,28.1,15.6,4.5,Low,1,6.7,0.1,4,6.2,9.3,3.95,100
Marketer,7,10.8,19.2,20.1,1.4,Low,5,5.2,2.81,4,4.9,7,5.65,65.8
Marketer,20,5.2,9,21.9,0.2,Low,11.2,10.3,1.36,7,3.3,6.4,6.1,66.5
Developer,13,13.6,35.3,15.8,2.9,High,4.1,3.4,3.62,8,5.8,4.6,10,67.3
Designer,13,5.1,9.8,28.7,1.3,Medium,2.1,4.1,0.51,9,6.1,5.5,8.4,77.3
Designer,10,4.4,8.5,42.1,3.7,High,1,6.5,0.96,2,6.3,1.1,10,60
Marketer,2,11.5,34.5,20.5,3.2,Low,5.3,9.8,0.1,3,2.7,6.7,5.89,67.5
Analyst,10,18.6,46.8,10,4.8,Low,3.3,8.5,0.1,9,5.5,8,4.91,90.8
Designer,3,5.3,17.1,20.1,1.2,High,7.8,8.7,0.25,1,2.7,4.7,10,52.3
Developer,6,12.5,20,26.5,1,Medium,1,5.7,4.82,5,5.2,4.5,9.15,46.8
Designer,4,2.5,4.6,23.2,1.6,Medium,4.2,6.2,0.8,3,6.3,7,7.29,59
Analyst,15,8.2,23.7,27.5,1.9,Medium,3,8.4,0.54,7,4.4,4.8,8.92,74.4
Marketer,4,17.6,42.3,20.7,2.3,Medium,1,7.1,2.84,1,5,4.7,9.01,63.5
Manager,12,2.8,10.4,25.7,1.1,Low,18,18,1.78,3,2.6,4.4,7.59,54.1
Designer,20,2.4,6.9,27.2,2,High,3.7,9.7,2.07,9,5.2,4.7,10,57.2
Marketer,9,5.7,14.3,27.8,2.3,Low,5.2,8.2,3.77,3,4.9,6.3,6.17,61.9
Developer,15,11.4,26,23.6,3.2,Medium,4.7,8.7,0.1,7,5.9,4.6,9.08,82.9
Manager,14,4.7,11,25.4,1.3,Medium,9.4,9.7,3.29,10,4.6,4.6,9.07,57.4
Marketer,6,13,24.5,20.3,3.3,Low,2.9,6.7,0.1,10,6.3,7,5.67,85.4
Designer,19,4.6,10,27.7,2.9,Low,9.4,10.7,1.14,9,2,5.6,6.7,59.6
Manager,17,4.8,14.2,21,1.7,High,8.3,11.5,3.81,7,3.1,4.5,10,46.6
Analyst,20,7.9,17.7,24.7,0.4,Low,3,3,3.88,10,4.6,7.1,5.59,71.1
Analyst,2,11.5,29.5,17.9,0.1,High,2.2,7.5,5.68,9,5.6,5.1,10,39.4
Designer,11,6.4,16.9,31.4,1.3,Low,5,6.5,0.1,8,6.3,5.3,6.92,74.9
Designer,18,3.5,3.4,33.4,2,Medium,3.1,6.1,0.48,10,6.2,4.5,9.15,65.7
Designer,7,7.5,17.7,16.7,1.8,High,3,5.3,1.76,3,6.9,6.2,9.53,64.6
Analyst,19,10.8,25.4,27.5,1.6,Low,7.8,7.3,1.28,5,6.7,4.5,7.52,80.9
Designer,14,6.2,22,28.8,1.2,Medium,3.5,8.2,1.29,1,6.9,4.9,8.86,76.8
Developer,18,18.5,46,19.8,2.2,Medium,3.7,8.3,0.95,3,4.5,4,9.52,81.4
Analyst,15,13.1,35.4,12.5,0.9,Medium,2.9,8.5,0.23,3,4.1,7.4,7.01,79
Developer,17,8.9,17,24,2,High,5.6,9.6,2.88,5,4.9,3.4,10,63.9
Designer,17,2.7,5.7,25.3,0.4,Medium,5.6,7.6,3.19,4,5.2,6.1,7.97,57.7
Designer,6,4.6,10.1,22.1,1.1,High,7.8,7.9,0.9,6,4,4.4,10,58.9
Analyst,2,12.9,37.6,25.8,7.8,High,5.5,8.5,0.1,5,3.3,1.9,10,55.4
Writer,18,13.9,42.4,18,2.6,High,5.1,13.2,2.48,3,7.5,3.8,10,86.6
Manager,14,10.5,30.4,14.7,1.2,Medium,15.3,12.6,0.1,10,2.4,4.4,9.23,68.1
Writer,2,13.1,34.8,11.2,2.6,Medium,8.2,9.1,3.85,4,4,6.4,7.75,42.7
Developer,19,14,18.8,22.7,2.8,High,9.3,11.9,1.4,9,4.4,1.5,10,67.8
Developer,9,7.6,14.5,20,0.8,Low,7.8,10.2,3.08,1,4.5,7.2,5.52,51.6
Analyst,11,8.8,17.7,24.6,1.4,Medium,6,5.4,4.25,1,4.1,4.6,9.06,46.1
Manager,3,5.3,13.6,16.5,2.4,Low,9.9,5.4,1.29,6,5.4,8.1,4.85,67.3
Designer,13,5.6,22.6,27.1,1.1,Low,5.9,6.9,4.61,7,4.1,6.4,6.12,60.7
Developer,10,7.3,13.4,28.2,2.4,Medium,8.9,9.7,3.86,7,6.6,3.4,9.96,59.2
Developer,20,15.7,44,17.6,1.8,Medium,9,9.8,1.4,8,5.5,3.9,9.59,80.3
Developer,7,22.4,57.1,10,0.4,High,6.3,6.7,4.48,1,4.9,3.3,10,66.5
Developer,13,18,38.2,21.9,2,High,4.3,10,4.08,8,5.2,2,10,64.5
Analyst,20,7.1,15.6,25.7,1.4,High,5.6,6.5,3.19,9,4.5,3.4,10,62
Developer,8,11.7,27.3,27.4,1.4,Low,5.8,3.6,1.47,3,5,4.8,7.29,65.4
Marketer,3,17.3,47.2,12.5,2,Low,8.4,14.2,4.21,8,3.7,6.4,6.09,67.3
Designer,16,5.5,14.3,20.3,0.6,High,4.3,9.3,1,8,7.3,5.5,10,81
Analyst,3,15.2,36.3,14.2,0.3,Medium,7.5,12.4,3.16,10,4.6,5.3,8.56,60.5
Marketer,6,14.8,37.1,17.8,1.2,High,2.9,4.6,4.47,10,4.5,4.1,10,59.8
Developer,5,18.5,50,21.4,2.5,Low,4.4,8.6,0.96,2,4.1,4.9,7.21,68.2
Developer,13,15.2,37,25.9,4.4,Medium,1,5.9,0.1,2,6.1,4,9.53,74.9
Developer,2,16.9,47.1,19.1,2.4,Medium,3.9,5.6,0.36,5,5.1,4.5,9.14,66.8
Developer,14,8.7,28.6,21.9,1.3,High,10.1,10.2,1.8,5,3.5,2.8,10,61.1
Developer,7,19.7,54,14.7,2.3,Low,4.8,8.5,1.07,8,5.1,6.2,6.25,83.8
Designer,14,4,10.5,23.1,3.1,Low,1.3,4.3,2.13,5,4.4,8.9,4.25,71.5
Analyst,8,11.1,38.4,11.1,3.2,High,7.7,12.7,2.14,10,6.6,5.5,10,70.9
Designer,10,6.2,8.6,24.5,3.4,Low,3.4,5.2,0.1,7,3.5,7.5,5.3,72.9
Designer,15,4.8,11.8,27.9,2.8,Medium,4.5,7.9,3.47,10,5.4,5.2,8.63,56.5
Developer,6,12.4,22.8,21.7,0.6,High,3,5.8,2.65,8,4.2,3.7,10,50
Analyst,4,9.9,16.5,21.8,0.7,Medium,6.7,7.2,2.48,8,4.9,4.9,8.85,47.8
Developer,15,14.3,32.6,10,0.6,Low,8,8.5,2.84,8,2.8,7.9,4.99,79
Analyst,5,8.3,18.5,25.7,5.6,Low,5,3.4,0.1,7,5.3,6.2,6.24,74.7
Developer,11,17.7,39.4,22.6,3.2,Low,6.9,8.8,2.99,10,5.7,4.2,7.73,74.6
Analyst,13,10.8,17.4,34.4,0.6,Medium,2,9.3,2,1,2.3,2.7,10,51.2
Writer,6,7.9,17.7,36,0.8,High,1,8.3,4.69,9,6.3,1.8,10,48.8
Developer,11,11.5,24.4,25,1.2,Medium,1,3.8,2.03,8,7.3,5.1,8.7,72.2
Manager,1,2.7,6.6,21.1,3.5,Low,17.5,11.5,0.1,5,1.7,5.7,6.63,50.8
Analyst,4,16.1,35.3,21.2,1.2,Low,1,7.6,3.47,1,6.2,6.4,6.1,76.4
Designer,16,1.5,0,37.6,0.5,High,1.9,4.2,2.4,4,5.3,2.8,10,55.8
Writer,10,17.5,53.6,10.6,0.2,Medium,5.8,4.1,3.91,8,7.4,6,8.03,81.8
Developer,2,15.7,38.9,10,2.4,Low,8.4,12.4,2.38,9,2.6,7.5,5.3,57.8
Marketer,11,15.8,44.3,13.5,2.4,Medium,7.6,9,1.71,5,4.5,5.3,8.56,76.4
Analyst,11,6.7,16.5,22.7,2.7,High,1,7.1,0.1,1,7,5.4,10,82.2
Analyst,7,3.5,11.7,19.9,1.4,High,6.5,9.4,3.55,6,5.6,5.5,10,45.4
Analyst,16,12.8,31.5,13.4,0.4,High,4.5,6.3,2.87,4,5.8,5.3,10,64
Marketer,12,10.2,24.6,18.1,0.8,Low,5,7.7,1.01,3,5.4,7.7,5.15,76.4
Developer,15,22.1,60.8,10,1.7,Medium,4.2,7.4,3.59,7,4.9,5.4,8.48,83.8
Analyst,2,0.4,0,31.5,0.9,High,3.3,10,2.62,8,5.6,4.2,10,43.3
Writer,9,19.7,48.5,10,0.2,High,4.1,6.8,2.94,2,4.8,4.6,10,77.8
Marketer,14,16.4,32.1,24.1,1.2,High,13.1,11.5,2.03,10,5.3,1,10,68.5
Manager,10,2.1,8.7,27.8,3.2,Low,13.2,11.8,2.5,1,3.8,5.2,6.99,52.8
Marketer,13,10.9,32.6,23.2,1.6,Low,3.5,4.8,2.06,2,3.4,6.6,5.96,75.5
Marketer,20,7.7,17.2,22.5,1.1,Low,1,5.8,1.73,4,4.9,8.2,4.77,85.1
Analyst,7,10.5,28.2,20.2,2.6,High,2.2,5.6,2.49,1,4,4.8,10,56.6
Developer,5,18.9,38.8,24.6,0.2,Low,2,4.3,6.03,3,6.5,4.6,7.43,58.2
Analyst,13,9,22.1,18,0.6,High,4.9,6.2,2.17,7,5.2,5,10,59.3
Analyst,11,6.3,13.5,28.3,3.9,Low,3.7,5.2,2.32,8,4.2,6.4,6.1,63.9
Manager,1,9,19.6,24,1.9,Low,22.9,16,2.33,9,1,2,9.35,25
Manager,18,3.1,4.5,30.6,3.7,Low,14,15,2.21,9,2.2,4.1,7.81,54.7
Marketer,3,11.6,26,22.3,2,Medium,5.7,3.8,3.1,10,6.2,4.6,9.08,54.4
Developer,20,15.5,37.7,29.4,1.4,Medium,4,6.7,2.14,9,4.9,2.3,10,81.6
Developer,2,26.9,63.3,19.4,1.6,High,8,7.1,5.77,7,5.9,1,10,63.2
Designer,15,7.5,17.7,21.2,9.6,Low,1,5.8,0.1,4,6.3,8.6,4.48,92.2
Marketer,4,6.6,27.9,24.5,1.7,Low,7.2,7.5,3.2,6,5.6,6.4,6.1,61.9
Developer,9,20.6,52.2,10,3.4,Medium,1.4,7.3,0.62,3,5.3,6.5,7.67,92.1
Developer,5,21.3,54.7,19.3,1.2,Medium,1,2,2.26,7,5.9,4.1,9.45,82.5
Analyst,17,6.6,16.1,21.1,2.4,High,3.4,7.7,3.22,5,3.9,5.2,10,57.6
Manager,9,3.2,11,26.1,2.7,High,17.5,14.7,0.1,10,1.7,1.3,10,52.4
Developer,10,17.7,44,26,1.4,Low,5.2,7.5,2.26,2,5,3.8,8.03,73.1
Analyst,5,10.1,20.4,20.3,1.2,Low,1.5,8.1,3.34,8,5.9,8,4.91,70.3
Analyst,8,9.7,26,30.7,0.8,High,3.9,5.8,3.05,2,3.2,1.9,10,55.4
Designer,12,6.5,20.4,22.5,3,High,3.7,8.7,1.23,1,6.2,4.8,10,68.6
Writer,15,18.6,46.2,13,0.2,High,11.4,11.3,3.2,8,4.7,2.2,10,66.7
Writer,17,14.4,33.1,18.3,4,Low,5.2,8.3,0.1,8,5.7,6.5,6.02,81.7
Analyst,5,2.3,6.9,38,8.7,Low,8.9,8.5,0.1,5,4.5,3.7,8.1,56.6
Analyst,8,13.8,36.4,21,1.1,Low,3.5,4.6,4.91,8,4.6,6.4,6.1,60.2
Analyst,11,12.4,29,19.2,2.7,Medium,7.4,6.7,1.79,10,4.1,4.8,8.94,60.2
Manager,19,7.9,28.1,26.9,7.2,Low,17.9,14.9,0.1,6,1.4,2.8,8.76,63.9
Manager,19,1.9,0,28.8,1.3,Low,15.2,13.6,3.64,5,3.9,4.5,7.5,54.5
Analyst,16,8.9,19.3,19.5,2.1,High,4,8.7,0.16,1,5.2,4.9,10,72.1
Developer,16,27.1,64.7,10,1.8,High,6.3,7,3.75,3,5.2,2.2,10,90.9
Writer,6,16.9,32.8,13.6,1.3,Medium,5.8,7.7,2.34,10,5.9,5.4,8.48,67.2
Developer,16,14.6,33.1,11,1.9,High,9.6,8.9,1.98,7,5.2,4.2,10,73.3
Manager,7,0,6.3,30.4,0.9,Low,10.7,12.3,2.06,4,3.5,5.7,6.62,56
Designer,9,6.7,20.3,23.7,0.5,Medium,13.4,12.8,0.27,1,1.5,3.6,9.83,53.5
Writer,16,19.3,45.7,17.1,1.8,Medium,6.6,10.6,0.1,6,6.2,3.7,9.73,95.6
Writer,9,19,46,29.3,1.6,Medium,1,6.5,1.98,7,5.8,2.2,10,74.9
Developer,6,17.1,35.5,15.9,2.9,High,5,4.9,0.35,1,3.8,3.5,10,59.9
Developer,17,6.7,10.5,26.5,1.7,Low,7.2,9.9,0.1,6,3.6,5.9,6.47,67.5
Writer,15,13,35.8,11.9,1.8,Low,9.2,8.8,0.1,7,3.6,7.5,5.3,89.2
Analyst,19,5.3,10.5,27.4,1.2,Low,7.6,8.3,0.97,1,4.3,5.9,6.47,72.8
Marketer,10,7.6,20.6,27.2,1.4,High,3,3,1.14,3,5.7,3.6,10,61.6
Developer,13,10.2,34.6,13.4,2.9,Low,4.3,7.3,0.17,3,5.7,9,4.17,94.3
Designer,19,1,4.2,25.3,3.2,Low,5.7,7.8,0.1,3,5.4,8,4.92,78.3
Developer,16,9.3,18.6,29.4,3.7,Low,5.5,9,0.1,10,3.9,4.9,7.2,78.5
Marketer,2,7.4,21.4,19.7,1.1,High,4.8,9.5,0.85,3,4.9,5,10,64.3
Developer,15,15,33.3,17.7,2.2,High,2.6,7.1,0.65,1,6.7,4.2,10,83
Analyst,9,10.5,30.9,29.5,3.1,High,2.7,9,1.21,8,5.5,2.3,10,61
Analyst,17,14.3,34.7,24.4,2.1,Medium,10.1,6.9,0.1,7,2.7,2.3,10,73.7
Manager,11,1.7,7.6,29,1.1,High,16.2,11.5,3.21,8,3.5,1.3,10,37.1
Developer,8,13.9,30.9,22.9,3.2,Medium,5.3,5.6,2.59,8,5.3,4,9.53,58.9
Marketer,10,5.5,10.2,27.6,2.6,Low,4.8,7,1.37,6,5.5,6.5,6.02,71.5
Developer,15,13,35.2,17.1,1.5,Medium,8.1,9.3,2.83,3,4.5,4.9,8.84,68.4
Designer,20,8.4,27.8,17.1,1.9,High,8.6,12.7,3.89,6,4.8,4.5,10,64
Analyst,11,2.4,16.7,22.4,2.6,Medium,4.6,11.3,0.37,1,5.6,7.2,7.16,64.1
Developer,19,17,38.2,18.4,1.7,Medium,5.7,5.4,2.74,4,3.2,4.2,9.37,61.7
Developer,15,15.8,34.4,20.3,1.2,High,1,6.6,0.1,1,5.5,3.7,10,79.8
Marketer,2,8.7,18,19.5,2.6,High,9,9.1,4.41,2,4.6,3.7,10,35.2
Designer,20,6.3,14,34.9,4.4,Medium,5.8,12.5,1.79,9,6.8,2.8,10,70.2
Manager,19,7.7,19.2,18.9,1.9,Medium,13.2,13.4,4.08,7,4.3,4.6,9.09,63.4
Analyst,3,8.6,21.3,21.6,3.4,High,7.5,9.9,0.1,1,5.1,3.6,10,53.9
Designer,4,8.6,24.1,15.3,1.3,Medium,2.4,7.7,2.03,10,6.1,7.9,6.63,69.8
Marketer,8,11.3,32.6,20.4,2.1,Low,6.3,9.2,4.38,9,3.7,6.5,6.03,62.9
Developer,3,14.3,42.8,12.7,2.1,Low,3,2,3.56,7,5.8,8.5,4.55,66.6
Writer,14,13.9,19.9,18.3,2.2,Medium,3.7,7,1.69,8,5.1,5.5,8.4,65.4
Developer,15,13.6,30.5,27.5,2.3,Medium,6.4,9.2,0.56,10,6.2,2.6,10,80.7
Manager,2,2.7,3.2,22.5,1.2,Medium,19,12.7,4.08,5,2.3,3.4,9.95,20.6
Developer,19,21.3,44.8,12.4,2,High,5.5,7.3,0.6,1,3.2,3.2,10,72.1
Analyst,20,7.9,14.2,33.1,1.2,High,5.6,5.4,0.1,7,6.7,1.3,10,80.3
Writer,9,20.7,53.4,20,3,Low,6.5,5.2,1.78,9,3.8,4.2,7.73,73.8
Analyst,18,15.6,39,20.1,2.4,Medium,8.8,10.9,1.2,6,3.3,3.4,9.97,81.9
Designer,6,0,0.1,25.8,1.6,High,3.3,6.9,0.58,1,6.3,5.7,9.9,57.8
Developer,11,14.4,37.1,10.2,1.8,High,7.5,10.1,3.16,9,3.6,5,10,58.1
Developer,9,12.9,37.4,24.7,2.3,High,4.3,6.4,3.2,5,3.7,2.5,10,60.4
Developer,19,16.3,40.8,14.5,2.1,High,5.3,4.5,0.1,5,5.2,4,10,84.6
Analyst,7,8.8,24.6,24.9,1.7,High,7.7,11.7,2.09,9,5.3,2.6,10,62.2
Designer,14,2.9,4.4,25.5,0.9,Medium,5.9,7.9,4.37,10,5.1,5.9,8.11,44.8
Designer,2,5.2,11.5,19.6,1.3,Medium,5.4,11.9,1.12,8,3.4,7,7.31,43.5
Manager,13,1.8,1.2,33.3,0.8,Medium,19,15.9,1.86,1,1,1,10,43.2
Analyst,5,5.9,21.8,10,3,High,6.5,9.8,3.07,10,3.3,7.4,8.64,46.2
Manager,12,5.7,13.8,28.3,4.2,Medium,4.4,5.9,1.99,5,5.4,4.9,8.85,66.2
Analyst,1,5.5,18.2,15.1,2.9,Low,5.5,9,0.1,4,5.4,9.5,3.82,73.8
